gdp_m,gdp_s,gdp
1225.40 ,9632.00 ,15052.70 
1453.90 ,10191.90 ,18205.60 
1521.60 ,10494.10 ,17405.90 
1787.70 ,10444.10 ,21438.50 
1526.10 ,11051.60 ,16974.80 
1769.20 ,11564.60 ,20607.80 
1808.10 ,11708.90 ,19382.40 
1935.00 ,11289.80 ,22741.30 
1722.80 ,12031.50 ,17900.20 
1952.10 ,12513.60 ,21674.80 
2014.30 ,12736.00 ,20608.70 
2406.30 ,12031.40 ,25272.80 
2184.80 ,13347.20 ,20174.90 
2490.70 ,13864.00 ,24604.50 
2699.40 ,14286.90 ,24372.90 
3177.70 ,13336.80 ,29035.80 
2858.90 ,14526.00 ,23304.20 
3124.00 ,14859.20 ,27269.10 
3038.00 ,15276.40 ,26234.90 
3265.60 ,13976.60 ,30719.40 
3076.90 ,15094.20 ,23805.90 
3381.60 ,15892.70 ,29061.60 
3491.40 ,16540.60 ,28373.60 
3899.00 ,15607.30 ,34716.80 
3675.20 ,16386.20 ,26745.00 
4320.70 ,17271.90 ,33298.50 
4263.70 ,18109.10 ,32227.10 
4500.40 ,17463.40 ,39018.50 
4065.80 ,17958.00 ,29210.40 
4950.10 ,19382.50 ,36235.50 
4937.90 ,19820.80 ,36593.50 
5536.70 ,19311.80 ,45445.50 
5134.70 ,19953.70 ,33621.60 
6164.20 ,21189.80 ,40978.10 
6210.10 ,21561.60 ,40176.00 
6908.90 ,21581.20 ,48863.20 
6283.80 ,22934.40 ,38544.00 
7116.80 ,23094.10 ,45718.20 
6665.50 ,22629.10 ,43297.40 
6905.90 ,22317.20 ,50268.80 
6191.60 ,23614.00 ,38624.40 
6807.30 ,23984.20 ,44131.80 
6531.60 ,24414.70 ,44290.80 
7072.60 ,24289.00 ,47854.90 
6593.50 ,24586.20 ,40088.10 
7370.50 ,25454.20 ,45837.10 
7375.70 ,25937.00 ,47772.40 
7726.80 ,26148.90 ,53877.90 
7057.70 ,27024.30 ,43697.70 
7748.30 ,27841.90 ,49821.50 
7521.20 ,28579.70 ,51668.20 
8221.50 ,28399.70 ,58028.40 
8090.70 ,29972.80 ,49699.10 
8909.20 ,30589.10 ,56472.80 
9033.80 ,31519.30 ,59963.10 
9679.70 ,30772.00 ,64263.30 
9646.80 ,33367.80 ,56557.10 
11147.50 ,33539.10 ,63361.70 
10716.80 ,34055.60 ,65688.50 
11250.50 ,33185.60 ,69101.80 
10631.10 ,35670.00 ,60797.60 
11639.10 ,36660.70 ,67581.30 
11260.70 ,36946.20 ,70487.50 
12193.80 ,36671.00 ,75809.00 
11813.10 ,38824.60 ,66339.30 
13467.20 ,39686.90 ,74470.30 
13236.30 ,41801.20 ,80269.20 
14653.40 ,40843.30 ,84709.80 
14478.70 ,43812.30 ,76258.20 
16711.50 ,44850.40 ,85822.00 
15378.30 ,46726.60 ,88911.00 
17388.20 ,45138.50 ,93704.90 
17722.10 ,50259.60 ,88855.40 
